id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
52456273,DeliveredStatus,18300,20120113,6212245,WALL - Partner,TRUE,MOTORBIKE,1,3.555,2019-07-09T11:26:45Z,2019-07-09T11:27:22Z,2019-07-09T11:27:39Z,2019-07-09T11:29:44Z,2019-07-09T11:36:17Z,2019-07-09T11:42:42Z,2019-07-09T11:43:37Z,NA,16,NA,NA,NA,NA,NA,NA
52869459,DeliveredStatus,18300,2703797,18838746,WALL - Partner,TRUE,BICYCLE,1,1.292,2019-07-11T22:07:14Z,2019-07-11T22:07:33Z,2019-07-11T22:07:50Z,2019-07-11T22:07:18Z,2019-07-11T22:25:45Z,2019-07-11T22:30:28Z,2019-07-11T22:34:06Z,NA,26,NA,NA,NA,NA,NA,NA
53002671,DeliveredStatus,15912,16549489,20153483,WALL - Partner,TRUE,BICYCLE,1,3.442,2019-07-12T19:40:13Z,2019-07-12T19:41:14Z,2019-07-12T19:42:34Z,2019-07-12T19:46:28Z,2019-07-12T19:56:59Z,2019-07-12T20:07:08Z,2019-07-12T20:10:37Z,NA,30,NA,NA,NA,NA,NA,NA
53037140,DeliveredStatus,15727,20338850,14306599,WALL - Partner,TRUE,CAR,1,2.659,2019-07-12T21:35:01Z,2019-07-12T21:35:06Z,2019-07-12T21:35:46Z,2019-07-12T21:35:31Z,2019-07-12T21:46:42Z,2019-07-12T21:52:32Z,2019-07-12T21:53:53Z,NA,18,NA,NA,NA,NA,NA,NA
52359237,DeliveredStatus,82665,12757332,18633852,WALL - Partner,TRUE,BICYCLE,1,2.819,2019-07-08T20:00:02Z,2019-07-08T20:00:55Z,2019-07-08T20:01:14Z,2019-07-08T20:00:28Z,2019-07-08T20:12:16Z,2019-07-08T20:20:11Z,2019-07-08T20:23:24Z,NA,23,NA,NA,NA,NA,NA,NA
53421893,DeliveredStatus,15908,20613550,6212245,WALL - Partner,TRUE,MOTORBIKE,1,6.828,2019-07-14T20:50:52Z,2019-07-14T20:51:26Z,2019-07-14T20:54:02Z,2019-07-14T20:55:32Z,2019-07-14T21:12:52Z,2019-07-14T21:24:51Z,2019-07-14T21:28:44Z,NA,37,NA,NA,NA,NA,NA,NA
53015035,DeliveredStatus,18300,18745143,9558769,WALL - Partner,TRUE,MOTORBIKE,1,5.09,2019-07-12T20:25:23Z,2019-07-12T20:25:58Z,2019-07-12T20:26:08Z,2019-07-12T20:32:22Z,2019-07-12T20:52:42Z,2019-07-12T21:03:20Z,2019-07-12T21:06:25Z,NA,41,NA,NA,NA,NA,NA,NA
53397285,DeliveredStatus,16698,6095862,15058361,WALL - NonPartner,TRUE,BICYCLE,2,2.668,2019-07-14T20:41:01Z,2019-07-14T20:42:15Z,2019-07-14T20:52:18Z,2019-07-14T20:55:49Z,2019-07-14T21:41:06Z,2019-07-14T21:45:06Z,2019-07-14T21:50:48Z,NA,9,NA,NA,NA,NA,NA,NA
52543980,DeliveredStatus,71757,17393708,15315073,WALL - Partner,TRUE,CAR,1,7.936,2019-07-09T21:32:36Z,2019-07-09T21:33:25Z,2019-07-09T21:33:39Z,2019-07-09T21:47:05Z,2019-07-09T21:56:15Z,2019-07-09T22:10:00Z,2019-07-09T22:11:18Z,NA,38,NA,NA,NA,NA,NA,NA
52857296,DeliveredStatus,15727,17610900,9558769,WALL - Partner,TRUE,MOTORBIKE,2,9.308,2019-07-11T21:23:05Z,2019-07-11T21:32:59Z,2019-07-11T21:32:59Z,2019-07-11T21:23:42Z,2019-07-11T21:58:18Z,2019-07-11T22:04:50Z,2019-07-11T22:10:08Z,NA,47,NA,NA,NA,NA,NA,NA
